publishdate,content_id,title_en,difficulty,mealtype,diettype,cuisine,cooking_method,steps,ingredients,#ingredients,steps_length
2018-11-23,R1411,Braised pork and hazelnut gremolata toasts,medium,main,non-vegetarian,german,"oven,slow-cooking","Preheat oven to 85°C/185°F. Season the pork neck all over with salt and pepper. Halve the onions, roughly chop carrots, and crush most of the garlic cloves. Heat a large pot over medium-high heat. Add vegetable oil, then sear the pork shoulder on all sides, approx. 2 min. per side. Add the cumin seeds, vegetables, and dark beers. Bring to a simmer, then cover and transfer to the oven. Bake at 85°C/185°F for approx. 6 hrs., until pork is completely fork tender and cooked all the way through. Once the pork is cooked, make the hazelnut gremolata, toast the hazelnuts on a baking sheet at 150°C/300°F for approx. 10 min. or until golden and fragrant. Let cool. Mince remaining garlic, parsley, and chives. Zest lemon and juice half the lemon. Roughly grind pink peppercorns in a food processor or mortar and pestle. Finely chop hazelnuts. Heat one third of the olive oil in a pan over medium-high heat and add the garlic and pink peppercorns. Swirl the pan and let cook for approx. 2 min. then transfer to a bowl. Add the lemon zest, hazelnuts, remaining olive oil, lemon juice, chopped parsley, and chives. Season to taste with salt, then add some more olive oil, if needed. Stir well. Once the pork is cooked, remove from the oven and the pot and slice. Strain the roasting pan juices through a sieve and reduce sauce in the saucepan over medium heat until thickened. To assemble the toasts, pile a portion of sliced pork on top of the toasted sourdough bread and drizzle with gravy. Finish with a spoonful of hazelnut gremolata. Enjoy!","['carrots', 'chives', 'cumin seeds', 'dark beer', 'garlic', 'hazelnuts', 'lemon', 'olive oil', 'onions', 'parsley', 'pepper', 'pink peppercorns', 'pork neck', 'salt', 'sourdough bread', 'vegetable oil (for frying)']",16,271
2019-05-20,R1620,Crustless German cheesecake,easy,dessert,,german,baking,"Preheat the oven to 160°C/320°F. Divide the egg yolks and egg whites into two separate bowls. Beat the egg whites with some sugar until stiff and set aside. Juice and zest one lemon. In a large bowl, beat the heavy cream until stiff and set aside. Mix in the egg yolks with quark, crème fraîche, vanilla extract, vanilla pudding powder, starch, lemon zest, lemon juice, and remaining sugar. Carefully fold in the beaten egg whites and whipped cream. Pour the mixture into a parchment-lined springform pan, smooth the top, and bake for approx. 65 – 70 min. When finished, turn off the heat and let the cake cool inside the oven until room temperature, approx. 2 hrs. Dust with confectioner’s sugar before serving. Slice and enjoy!","['confectioner’s sugar (for serving)', 'crème fraîche', 'eggs', 'heavy cream', 'lemon', 'low-fat quark', 'starch', 'sugar', 'vanilla extract', 'vanilla pudding powder']",10,126
2019-07-30,R1757,Schupfnudeln (German potato dumplings) with poppy seeds and plum jam,medium,dessert,vegetarian,german,blending,"To make the plum jam, halve and de-stone the plums. Chop into small pieces and add to a saucepan along with sugar and vinegar. Bring to a boil without stirring, then reduce heat and cook approx. 45 min. stirring occasionally. Remove from heat, let cool slightly, and purée until smooth. Set aside. Meanwhile, bring potatoes to a boil in a pot of salted water. Reduce heat and let simmer approx. 20 min., or until soft. Drain potatoes, let dry off in the saucepan, and peel once they are dry, but still warm. Then, press through a potato ricer into a large bowl. Add semolina to the potatoes, followed by a third of the flour, salt, egg yolks, butter, and nutmeg. Stir together, then knead into a dough, adding the remaining flour gradually until a dough forms. Divide the dough into 4 and roll into strips approx 4-cm./1-in. thick, then cut into evenly sized pieces, measuring approx. the same width-wise. Roll each into dumplings with pointed ends, measuring approx. 2-cm./3/4-in. wide. Bring water to boil in a large pot and cook the dumplings in batches. Remove them with a slotted spoon once they have risen to the surface and transfer to a sieve to drain, then toast poppy seeds in a frying pan for approx. 2 – 3 min. or until fragrant, then set aside. Melt butter in the same pan, add the dumplings, and fry approx. 5 min. or until golden brown. Add brown sugar, vanilla sugar, and poppy seeds. Toss together well and remove from heat. Serve the dumplings dusted with confectioner’s sugar and with the plum jam on the side. Enjoy!","['brown sugar', 'butter', 'confectioner’s sugar (for dusting)', 'egg yolks', 'flour', 'floury potatoes', 'ground nutmeg', 'plums', 'poppy seeds', 'salt', 'semolina', 'sugar', 'vanilla sugar', 'vinegar']",14,273
2018-11-25,R1491,Bavarian beer-roasted pork with crackling,medium,main,,german,roasting,"Preheat the oven to 140°C/280°F. Peel and roughly chop carrots, onion, and celery root. Clean and roughly chop leek. Place all vegetables in a roasting pan. Using a sharp knife, make incisions in the pork rind to create a diamond pattern. Salt generously, flip, and season again with salt and pepper. Sprinkle with paprika powder and caraway seeds. Rub pork with the spices and transfer into an ovenproof pot, skin-side up. Pour in half of the dark beer and transfer oven-proof pot nto the oven and let roast for approx. 5 hrs. at 140°C/280°F. Check back often to top up the pan with more dark beer, until used up, and brush the pork rind with cold water to ensure crispiness. Remove pot from the oven and transfer pork roast into a baking dish. Switch the oven to broiling function and broil for approx. 5 – 7 min. more, or until pork rind becomes crackling. Strain the roasting juices through a sieve into a pot and reduce on medium-high heat to desired consistency, then remove from heat. Transfer gravy into a gravy boat. Remove pork roast from the oven and serve with sauce and sauerkraut, if desired. Enjoy!","['caraway seeds', 'carrots', 'celery roots', 'dark beer', 'leek', 'onion', 'pepper', 'pork shoulder', 'salt', 'sauerkraut (for serving)', 'sweet paprika powder', 'water (cold)']",12,197
2018-11-27,R1387,Königsberger Klopse (German meatballs in cream and caper sauce),easy,main,,german,frying,"Finely chop two thirds of the shallots, one third of the capers, and all of the anchovies. Heat some oil in a frying pan and sauté shallots for approx. 1 – 2 min. Add milk to a mixing bowl and soak bread rolls for approx. 10 Min., until soft. Then, squeeze out the bread rolls to drain excess liquid. Bring a large pot filled with water to a simmer. Stud remaining shallot with bay leaf and cloves and add to pot. In a large bowl, combine ground veal, egg, soaked bread rolls, sautéed onions, mustard, chopped anchovies, and capers. Season with salt and pepper and mix everything together thoroughly. Then, form mixture into 2-in./5-cm meatballs  and carefully add them to the pot. Let meatballs simmer on low heat for approx. 15 – 18 min., until done. Remove with a slotted spoon, set aside, and keep warm. Set stock aside. In the meantime, melt butter in a pot over medium heat. Whisk in flour and deglaze with white wine and two thirds of the meatball stock. Add cream and let simmer for approx. 5 min. Add remaining capers along with a little of their brine, lemon zest and juice. Season to taste with salt, pepper and a pinch of sugar. Serve meatballs with creamy caper sauce and boiled potatoes as a side.","['anchovies', 'bay leaf', 'bread rolls', 'capers', 'cloves', 'egg', 'flour', 'ground veal', 'heavy cream', 'lemons', 'mustard', 'pepper', 'potato (cooked, for serving)', 'salt', 'shallots', 'sugar', 'unsalted butter', 'vegetable oil (for frying)', 'water', 'white wine', 'whole milk']",21,221
2018-11-30,R1513,Sauerbraten (Slow-cooked German pot roast),hard,main,non-vegetarian,german,"marinating,slow-cooking","For the marinade, peel and dice two onions and the carrot. In a large pot, bring red wine, raspberry vinegar, bay leaves, juniper berries, cloves, allspice, berries, salt, and sugar to a boil. Let simmer for approx. 5 min., remove from the stove and let cool Place in a large bowl beef, pour in the marinade, and cover with plastic wrap. Place the bowl in the fridge and let marinate for three days. Remove beef from the marinade on day three. Strain the marinade through a fine sieve and reserve the liquid. Pat the beef dry and let cool for approx. 1 hr. or until it reaches room temperature. Peel and dice remaining onions. Heat clarified butter in a large, heavy-bottomed pot set over medium heat. Add the beef and fry on all sides. Add diced onions and sauté until translucent, approx. 5 min.3 Add gingerbread cookies, raisins, and golden syrup and continue frying for a short time. Deglaze with marinade and bring to a boil. Cover with a lid, reduce heat to low, and let cook for approx. 2 hrs., turning the beef occasionally. Add remaining raisins to the sauce and continue to simmer until the gravy reaches desired consistency. Season with salt and pepper. Serve with the gravy and pair with potatoes and red cabbage. Enjoy!","['allspice berries', 'bay leaves', 'beef round roast', 'carrot', 'clarified butter', 'cloves', 'gingerbread cookies', 'golden syrup', 'juniper berries', 'onions', 'pepper', 'raisins', 'raspberry vinegar', 'red wine', 'salt', 'sugar']",16,218
2019-08-01,R1756,German plum-semolina cake,easy,dessert,vegetarian,german,oven,"Preheat the oven to 175°C/350°F. Wash the plums, halve and remove pits, and toss in a bowl with cinnamon and sugar. Mix quark, semolina, and milk in a bowl. Split and scrape vanilla bean. Separate egg yolks and whites into two bowls. Beat egg yolks with vanilla seeds and remaining sugar with a hand mixer until frothy, approx. 2 min. Add the quark-semolina mixture and with a rubber spatula stir to combine. Beat the egg whites with lemon juice, zest, and a pinch of salt until stiff and mix in also. Grease a baking dish with some butter and pour two-thirds of the mixture into the dish. Add the plums, placing them close to each other in rows. Pour remaining semolina batter over the top. Bake at 175°C/350°F. for approx. 40 min., or until the top is golden brown. Allow to cool for 10 min., then dust with confectioner’s sugar and slice into squares. Enjoy!","['confectioner’s sugar (for dusting)', 'eggs', 'ground cinnamon', 'lemon juice', 'lemon zest', 'milk', 'plums', 'quark', 'salt', 'soft wheat semolina', 'sugar', 'unsalted butter', 'vanilla bean']",13,155
2018-12-06,R1425,Austrian Germknödel (Yeast dumplings with plum jam filling),easy,dessert,vegetarian,german,steaming,"Gently heat milk in a pot over medium-low heat until just lukewarm. Add fresh yeast and some of the sugar and whisk for approx. 2 - 3 min., until the yeast is completely dissolved. Add flour, remaining sugar, salt, some of the softened butter, and eggs to a large bowl and mix with a hand mixer with dough hooks until combined. Add yeast-milk mixture little by little until a smooth dough forms. Flour your work surface and form the dough into a ball. Transfer the dough back to the bowl, cover with a clean kitchen towel and let rise in a warm place for approx. 1 hr. , or until the dough has doubled in volume. Flour your work surface and divide the dough into 8 equal-sized pieces. Form each dough piece into a disc, add a tablespoon of plum jam into the center of the disc and fold dough gently over the filling, pinching the seam. Form into round dumplings and let rest again for approx. 15 min. In a pot, bring water to a boil. Transfer the yeast dumplings to a sieve inside the pot, but make sure that sieve and water only touch slightly. Cover and let the dumplings steam over medium heat for approx. 12 – 15 min. Melt remaining butter in a small pot and set aside. Combine confectioner’s sugar and poppy seeds in a small bowl. Serve dumplings with vanilla sauce and some melted butter. Sprinkle with poppy seed and sugar mixture. Enjoy!","['confectioner’s sugar', 'eggs', 'flour', 'flour (for dusting)', 'fresh yeast', 'plum jam', 'poppy seeds', 'salt', 'sugar', 'unsalted butter (soft)', 'vanilla sauce', 'whole milk']",12,249
2018-12-07,R1455,Baked cranberry and cinnamon doughnuts,easy,dessert,,german,baking,"Add flour, fresh yeast, eggs, part of the water, part of the sugar, and salt to a bowl. Mix for approx. 5 min., using a hand mixer with dough hooks. Add the butter little by little while continuing to mix. Keep mixing for approx. 5 – 8 min., or until the dough becomes a shiny ball, adding extra flour, if needed. Dust the dough ball with flour and cover the bowl with a kitchen towel. Leave in a warm place to rise for approx. 2 – 4 hrs., the longer the better as it will develop flavour and the fluffiest texture. Cut the dough into even pieces and roll into balls. Place on a parchment-lined baking sheet, dust with flour and cover with kitchen towel. Let rise for at least 1 hr. Preheat the oven to 220°C/428°F. To make the cranberry jam, halve vanilla bean and scrape into a saucepan. Add cranberries, another part of the sugar, vanilla pudding powder, starch, and remaining water. Bring to a boil, then reduce heat, and simmer for approx. 20 min., or until thick. Set aside to cool, then puree with an immersion blender until smooth. Transfer the baking sheet with dough balls into the preheated oven and bake for approx. 8 min. at 220°C/428°F. In the meantime, melt remaining butter in a saucepan and mix together with remaining sugar and cinnamon on a plate. Remove the donuts from the oven and immediately brush with melted butter multiple times until the melted butter is used up. Roll the doughnuts in the cinnamon sugar. Fill a piping bag fitted with a tip with the cranberry sauce. With a small knife, cut an X into the bottom of the doughnut, halfway into the donut. Fill this cavity with jam, leaving a little dollop on the surface. Enjoy!","['cranberries', 'eggs', 'flour', 'flour (for dusting)', 'fresh yeast', 'ground cinnamon', 'salt', 'starch', 'sugar', 'unsalted butter', 'vanilla bean', 'vanilla pudding powder', 'water']",13,301
2018-12-08,R1535,"German savoy cabbage, potato, and ground beef stew",easy,main,non-vegetarian,german,stewing,"Trim and core the savoy cabbage and cut into bite-sized pieces. Peel and dice potatoes and onion. Heat the vegetable oil in a large pot and add the onions and ground beef and let cook for approx. 5 min. Add savoy cabbage and potatoes, then add white wine and vegetable broth, and season with smoked paprika powder, pepper, freshly grated nutmeg, and salt. Let simmer for approx. 20 min., or until potatoes are tender. Serve with a dollop of crème fraiche and season to taste with pepper, nutmeg, and smoked paprika. Enjoy!","['crème fraîche (for serving)', 'ground beef', 'nutmeg', 'onion', 'pepper', 'potatoes', 'salt', 'savoy cabbage', 'smoked paprika powder', 'smoked paprika powder (for serving)', 'vegetable broth', 'vegetable oil', 'white wine']",13,92
2016-11-23,R523,Sauerkraut-mushroom stew,easy,main,,german,"sauteing,stewing","Clean and slice mushrooms, mince shallot, and slice cornichons horizontally. Add oil to pan over medium-high heat, then add mushrooms and shallots. Sauté for approx. 3 min. or until fragrant. Add beef and continue to cook for approx. 1 min. more, or until browned on all sides. Add ground paprika and bay leaf, as well as salt and pepper to taste and mix to combine. Add beef stock. Lower heat to a simmer, then add sauerkraut and continue to cook for an approx. 30 – 40 min., or until the beef is tender. Add sugar to taste, then stir in the sliced cornichons. Remove from heat. Transfer stew to two serving dishes and garnish with sour cream, parsley, and salt and pepper to taste.","['bay leaf', 'beef stock', 'canned sauerkraut', 'champignon mushrooms', 'cornichons', 'cubed beef chuck', 'ground paprika', 'olive oil', 'parsley for garnish', 'pepper', 'salt', 'shallots', 'sour cream', 'sugar to taste']",14,124
2019-08-02,R1686,Covered German apple cake,medium,others,non-vegetarian,german,"baking,oven","Add flour, almond flour, butter, sugar, a pinch of salt, and lemon zest to the bowl of a food processor. Pulse for approx. 30 – 45 sec. to mix. Add eggs and keep pulsing until the dough comes together. Remove dough from food processor, cover with plastic wrap, and let rest in the refrigerator for at least 1 hr. While the dough rests, wash, peel, and dice apples into 2-cm/0.8-in. chunks. Add apple chunks to a large bowl, cover with water, and add lemon juice. Set aside. Add remaining butter and sugar to a saucepan over medium-low heat. Stir with a wooden spoon until it turns into homogeneous caramel. Gradually add the diced apples and vanilla bean seeds and stir until fully coated. Then, let cook for approx. 2 min. Add starch and keep stirring to prevent lumps for approx. 2 – 3 min. Set filling aside. Preheat oven to 180°C/350°F. Grease pan with butter. Roll out ⅔ of the chilled dough and place it in the tart pan. Press the edges against the sides of the pan, transfer it back to the refrigerator, and let chill for 10 min. more. Remove rolled out dough from the refrigerator and top it with caramelized apple mixture. Roll out the remaining dough and create a pattern on top of the apples. Bake for approx. 45 – 50 min. then let cool for at least 20 min. Add confectioner’s sugar and remaining lemon juice to a small bowl. Mix with a spoon until smooth and drizzle it on the cooled cake before serving. Enjoy!","['almond flour', 'apples', 'confectioner’s sugar', 'eggs', 'flour', 'lemon juice', 'lemon zest', 'salt', 'starch', 'sugar', 'unsalted butter (cold)', 'unsalted butter (for greasing)', 'vanilla bean seeds', 'water']",14,261
2017-05-03,R712,Poppy seed marble cake,easy,dessert,vegetarian,german,"baking,oven","Preheat oven to 180°C/350°F. Grease a loaf pan with oil. If needed, line with parchment paper. Combine poppy seeds, vanilla sugar, and some of the vegetable oil. Zest and juice oranges, then set aside. Mix together eggs, some of the orange juice, and yogurt. Combine flour, sugar, baking powder, orange zest, and salt in a mixing bowl. Add wet ingredients to dry and mix to combine. Stir in remaining oil. Transfer half of the batter into prepared pan, then add the ground poppy seed filling. Top with remaining batter, then use a fork a knife to swirl poppy seeds through the batter to create a marble effect. Bake in preheated oven at 180°C/350°F for approx. 45 – 60 min., or until a toothpick comes out clean or with a few moist crumbs. Cool for approx. 15 min., then turn out of pan and cool completely on a wire rack. Combine orange juice with powdered sugar to create a glaze. Drizzle glaze over cooled cake and decorate as desired! Enjoy!","['baking powder', 'decorative flowers for garnish', 'eggs', 'flour', 'Greek yogurt', 'oranges (zest and juice, divided)', 'poppy seeds (ground)', 'powdered sugar', 'salt', 'sugar', 'vanilla sugar', 'vegetable oil (divided)', 'vegetable oil for greasing']",13,169
2015-01-27,R200,Roasted cauliflower soup,medium,main,vegetarian,german,"blending,roasting","Preheat oven to 200°C/390°F. Cut cauliflower into small florets. In a large saucepan, roast cauliflower and fennel seeds in some olive oil for approx. 3 – 5 min. until fragrant. Season with sugar, nutmeg, salt and pepper. Deglaze pan with vegetable stock. Bring to a boil, reduce heat, and allow to simmer for approx. 8 – 10 min. until the cauliflower is tender. Add soy milk to pan. Remove soup from heat and blend with a hand blender until smooth. Allow to rest. Cut ciabatta into slices. Place bread slices onto a baking tray (lined if needed) and drizzle with olive oil. Bake in a preheated oven at 200°C/390°F for approx. 5 – 7 min. until golden brown and crispy. Remove from oven. Thinly slice basil and finely chop shallot and a part of the garlic. Dice tomatoes into small cubes. Transfer tomatoes, basil, shallots, and garlic to a bowl. Add some olive oil and season to taste with salt, pepper, and cayenne pepper. Mix well to combine. When the bread is cool enough to handle, halve garlic clove and use flat side to rub over toasted bread. Top with tomato mixture. Reheat soup if needed and transfer to soup plates. Drizzle with extra olive oil and serve with bruschetta on the side.","['basil', 'cauliflower', 'cayenne pepper', 'ciabatta', 'fennel seeds', 'garlic (divided)', 'nutmeg (ground)', 'olive oil', 'olive oil for serving', 'pepper', 'salt', 'shallot', 'soy milk', 'sugar', 'tomatoes', 'vegetable stock']",16,213
2018-02-15,C42,Quick nut strudel with warm vanilla sauce,easy,dessert,vegetarian,german,baking,"Preheat the oven to 180°C/360°F (convection). To make the strudel filling, add ground nuts to a bowl. Add part of the sugar, vanilla sugar, and part of the milk, and combine until smooth. If desired, you can also add a dash of rum or raisins. Roll out the puff pastry and place it on a baking sheet lined with parchment paper. Spoon the nut mixture in the center of the dough, and then fold the dough over from both sides. Bake at 180°C/360°F (convection) for approx. 35 min. until the strudel is golden. While strudel is baking, pour part of the milk into a pot and bring to a boil. In the meantime, mix custard powder with the remaining sugar and milk. When the milk on the stove is boiling, pour in the custard mixture and stir vigorously. Simmer for a few minutes and stir throughout. Then set aside. Slice nut strudel and serve with the warm vanilla sauce.","['hazelnuts (ground)', 'milk (divided)', 'puff pastry', 'raisins (optional)', 'rum (optional)', 'sugar (divided)', 'vanilla custard powder', 'vanilla sugar']",8,159
2018-12-18,R1545,Pear strudel with vanilla ice cream,easy,dessert,vegetarian,german,"baking,oven","Preheat the oven to 180°C/350°F. Quarter, core, and cut the pears into bite-sized cubes and transfer to a bowl. Zest and juice the lemon and add to the pears. Toss to combine. In a small pot over medium heat, add the pear mixture, raisins, sugar, and cinnamon. Mix the vanilla pudding powder with white wine, add to the pears and cook until thick, approx. 5 min. Remove from heat and stir in sliced almonds. Place the puff pastry on a cutting board and, using a bench scraper, cut strips into the dough approx. 2 cm/3/4-in. wide and 8 cm/3-in. long. Add the pear filling to the middle and, starting at either end and working to the middle, fold the strips over the filling, alternating top and bottom strips for a braided effect. Combine the egg yolk with the heavy cream and brush onto the strudel. Bake at 180°C/350°F for approx. 30 min., or until golden brown. Let cool for approx. 15 min., then dust with confectioner’s sugar. Slice and serve with vanilla ice cream. Enjoy!","['confectioner’s sugar (for garnish)', 'egg yolk', 'ground cinnamon', 'heavy cream', 'lemon', 'pears', 'puff pastry', 'raisins', 'sliced almonds', 'sugar', 'vanilla ice cream (for serving)', 'vanilla pudding powder', 'white wine']",13,175
2016-12-03,R529,Arctic char with winter aromas,hard,main,non-vegetarian,german,marinating,"Fillet and remove bones from the arctic char. Slice ginger and split and scrape vanilla bean; peel orange. Lightly toast bay leaves, juniper berries, coriander, cardamom, star anise, and cinnamon in a dry frying pan, then add orange peel and ginger and toss. Transfer to a mortar and lightly crush. Transfer to a large container along with salt, brown sugar, and vanilla seeds and bean. Toss to combine. Coat fish in the spice mixture, cover with plastic wrap, and let marinate for approx. 1 – 1.5 hrs. To make the beetroot reduction, mince shallots. Heat a saucepan over medium heat and add lime-olive oil. Add shallots, and sauté until fragrant. Add brown sugar, bay leaf, and cinnamon and cook until the sugar is caramelized. Deglaze sugar with orange juice and gently simmer for approx. 5 – 10 min. Add beetroot juice and continue to simmer until it is reduced by half, approx. 15 – 20 min. Strain through a sieve into a new saucepan over low heat. Combine cornstarch and water in a small bowl to make a slurry, then add some of it to the beetroot reduction to thicken. Season with salt and sugar to taste, then add the juice of the lime. Set aside. Preheat oven to 170°C/350°F. Finely chop walnuts. Combine the butter, flour, sugar, and salt together with walnuts to make a crumble. Spread over a baking sheet lined with parchment paper. Bake for approx. 10 – 12 min. until the crumbles are golden brown and crisp. Set aside to cool. For the citrus salad, wash and dry the oranges, lemons, and lime. Peel oranges, lemons, and lime and fillet; set aside. Squeeze juice from the remaining piths into a small bowl. Add brown sugar and lime-olive oil to a saucepan over medium-low heat and caramelize. Add orange juice and fresh citrus juice to the pan and simmer until the mixture is reduced by half; add some of the slurry to thicken. Remove from heat. Stir in citrus filets and zest, then season with salt and honey to taste. Remove fish from marinade and rinse in a water bath. Cut into bite-sized pieces, and arrange 3 per plate, alternating with citrus filets. Top with walnut crumble and garnish with chervil, sorrel, and the red beet reduction.","['arctic char', 'bay leaves', 'brown sugar (divided)', 'butter', 'cardamom pods', 'chervil for garnish', 'cinnamon (divided)', 'coriander seeds', 'cornstarch', 'flour', 'ginger', 'honey to taste', 'juniper berries', 'lemons', 'lime (divided)', 'lime olive-oil (divided)', 'orange juice (divided)', 'oranges (divided)', 'red beetroot juice', 'salt', 'salt to taste', 'shallots', 'sorrel for garnish', 'star anise', 'sugar', 'sugar to taste', 'vanilla bean', 'walnuts', 'water']",29,380
2018-02-12,C89,Red beet and orange soup,easy,main,vegetarian,german,"blending,sauteing","Peel and chop onions and beets. Finely dice ginger (or grate). Prepare vegetable stock and put all ingredients aside. Heat oil in a large pot and sauté onions, ginger, and chili powder. When onions are translucent, add beets, sauté, then deglaze with white wine. Simmer. Add orange juice and simmer until reduced and thickened. Add stock and simmer for approx. 10 min. until beets are soft. Purée, then bring to a boil again. Add the cream and season with salt, pepper, and extra chili powder if desired. Serve soup with a spoonful of sour cream. Garnish with orange peel. For individual seasoning, I would provide extra sour cream and chili powder.","['chili powder', 'cream', 'ginger (fresh)', 'oil', 'onions (small)', 'orange juice', 'orange peel for garnish', 'pepper', 'red beets (medium-sized)', 'salt', 'sour cream', 'vegetable stock', 'white wine']",13,111
2017-09-23,R745,Onion tart,easy,main,non-vegetarian,german,oven,"Preheat oven to 200°C/400°F. Add cream cheese, 2 eggs, and olive oil to a large mixing bowl and stir to combine. Add baking powder, salt, and ground caraway to flour and stir together. Add flour mixture to cream cheese mixture and knead until evenly combined. Roll out dough on floured work surface until it is approx. the size of baking sheet. Transfer to parchment-lined baking sheet. Pierce with fork and set aside. Peel onions, halve, and cut into slices. Cute bacon into cubes. Combine eggs, sour cream, and milk in a large mixing bowl. Season with salt and pepper to taste. Add onions and bacon and stir until evenly combined. Evenly spread onion mixture over dough. Bake in preheated oven at 200°C/400°F for approx. 30 – 35 mins., or until crust is evenly browned. Garnish with freshly chopped parsley and enjoy!","['bacon', 'baking powder', 'cream cheese (low fat)', 'eggs (divided)', 'flour', 'flour for dusting', 'ground caraway', 'milk', 'olive oil', 'onions (mixed)', 'parsley for garnish', 'pepper', 'salt', 'sour cream']",14,141
2017-09-26,R743,Classic German cheesecake,medium,dessert,vegetarian,german,"baking,oven","Add flour, baking powder, sugar, and salt to a large mixing bowl and stir to combine. Cut cold butter into cubes and work into flour mixture with dough scraper until butter is divided into pea-sized pieces. Add egg and continue mixing, bringing dough together using your hands. Form into a disc and wrap tightly in plastic wrap. Leave to chill for approx. 30 min. in the refrigerator. Line a springform pan with parchment paper, lightly grease with butter, and set aside. Flour work surface and roll out dough, making sure that it is a few cm/in. wider than the baking pan. Transfer dough to pan and press to fit, so that the dough goes up the sides approx. 4 cm/1.5 in. high. If you like, trim the sides to create a level edge with a pastry wheel. Transfer to the refrigerator. Preheat oven to 175°C/350°F. Separate egg whites from yolks and place in two separate mixing bowls. Beat egg whites until stiff peaks form. Set aside. Melt butter in a small saucepan over low to medium heat. Add cream cheese, sugar, starch, butter, vanilla extract, and lemon juice to egg yolks and mix until mixture is smooth and creamy. Fold in egg whites to egg yolks with a whisk, maintaining as much air as possible. Transfer mixture to pan and tap thoroughly on kitchen counter to release trapped air bubbles. Bake cake at 175°C/350°F for approx. 40 min. in the lower half of the oven. Cover with aluminum foil and continue baking for approx. 35 more min. The cake should still be a little wobbly in the middle. Turn off oven, open door slightly, and leave cake inside for approx. 10 - 20 min. to allow it to cool gradually, which will prevent it from falling. Remove sides of pan and leave to cool completely for approx. 1 hr. on cooling rack before cutting the cake. Enjoy!","['baking powder', 'butter (divided)', 'butter for greasing', 'cream cheese (low-fat)', 'eggs (divided)', 'flour', 'flour for dusting', 'lemon juice', 'salt', 'starch', 'sugar (divided)', 'vanilla extract']",12,317
2015-01-22,R219,Braided Easter bread,hard,dessert,vegetarian,german,"baking,oven","Heat milk in a small saucepan over low-medium heat. Add butter and slowly melt. Then, gradually add the sugar and dry yeast and stir to combine. Be careful not to overheat the milk. Place flour and some salt into a large bowl. Add the egg. Slowly pour in the milk mixture. Using a standing mixer or a hand mixer, knead until an elastic dough forms. Transfer dough to a lightly floured surface and continue to knead by hand. Place dough into large bowl and cover with a clean kitchen towel. Allow to rise in a warm place for approx. 1 – 2 hours until doubled in volume. Transfer dough to a lightly floured cutting board. Knead and form a log. Carefully flatten the log with your hands. With a sharp knife, separate the dough into three strings. Make sure to leave the upper part intact. Beginning from the top, carefully braid dough into a loaf. Tightly seal loose ends. Transfer braid to a lined baking sheet. Cover and allow to rise in a warm place for approx. 45 – 60 min. Preheat oven to 200°C. In a small bowl, combine egg, 2 pinches of sugar and 1 pinch of salt. Whisk until creamy. Brush dough with the egg mixture. Transfer to oven and bake for approx. 30 – 35 min. until golden. Remove from oven and allow to cool. Enjoy for breakfast or with your afternoon tea.","['all-purpose flour', 'butter (soft)', 'eggs', 'flour for work surface', 'milk', 'salt', 'sugar', 'yeast (dry)']",8,237
2015-01-15,R222,Pistachio crusted rack of lamb with rosemary polenta,medium,main,non-vegetarian,german,oven,"Finely dice shallot. Sauté shallots in butter for approx. 3 – 5 min. until translucent. Using a food processor, roughly chop the pistachios. In a large bowl, mix together the pistachios, breadcrumbs, egg, mustard, shallot and olive oil. Stir thoroughly to combine. Using a fine grater, grate nutmeg into pistachio mixture. Season to taste with salt and pepper. Stir well. Place pistachio mixture onto a large piece of plastic wrap. Form into a cylindrical shape and tightly wrap. Transfer to refrigerator and allow to set. Roughly chop green olives. Add chicken broth and rosemary leaves to a saucepan over medium-low heat and season with salt and pepper. Grate in nutmeg and bring to a boil. Add polenta and stir constantly until the mixture thickens. Mix in olives and grate in Parmesan cheese. Stir well to combine and set aside. Preheat oven to 180°C (350°F). In an ovenproof frying pan, heat up some olive oil and sauté the lamb over medium-high heat for approx. 3 – 5 min per side. Season to taste with salt and pepper. Remove pistachio mixture from plastic wrap. Spread on top of lamb. Place frying pan into preheated oven and cook at 180°C (350°F) for approx. 10 – 15 min. Enjoy with polenta!","['breadcrumbs', 'butter', 'chicken broth', 'egg', 'green olives', 'mustard', 'olive oil', 'Parmesan cheese', 'pepper', 'pistachios', 'polenta', 'rack of lamb', 'rosemary (leaves)', 'salt', 'shallot', 'whole nutmeg (divided)']",16,207
